region,annee,semaine,temp_moy_c,temp_max_c,temp_min_c,temp_surface_c,pluie_mm,humidite_pct,vent_moy_ms,pression_hpa,humidite_sol_racine,humidite_sol_surface,evapotranspiration_mm,ndvi,lst_jour_c,ndvi_lag2,ndvi_lag4,ndvi_lag8,semaine_sin,semaine_cos,cas_confirmes,pluie_lag2,pluie_lag4,population,strate_risque,saison,indice_vectoriel
DAKAR,2018,1,21.82857142857143,26.51,19.36,20.807142857142857,0.0,63.63,5.3342857142857145,101.35714285714286,0.2714285714285714,0.8714285714285713,0.59,0.2365372403424961,30.715321945391004,0.2163014363007027,0.2161546596790299,0.2158439509307843,0.120536680255323,0.992708874098054,58.53,0.47,0.48,3635000,moderee,seche,8.379939191043389e-05
DAKAR,2018,2,20.79428571428572,26.78,18.27,20.124285714285715,0.0,72.00857142857143,5.0600000000000005,101.44,0.2657142857142857,0.8714285714285713,0.41,0.2311409340584605,31.41154691551552,0.2163014363007027,0.2161546596790299,0.2158439509307843,0.2393156642875577,0.970941817426052,58.53,0.47,0.48,3635000,moderee,seche,9.61447077537506e-05
DAKAR,2018,3,19.84714285714286,26.11,17.21,18.90142857142857,0.0,68.70714285714286,6.195714285714287,101.44142857142856,0.26,0.87,0.45,0.2257446277744249,32.107771885640034,0.2365372403424961,0.2161546596790299,0.2158439509307843,0.3546048870425356,0.9350162426854148,58.53,0.0,0.48,3635000,moderee,seche,9.031788815581171e-05
DAKAR,2018,4,20.21142857142857,26.39,17.69,18.56714285714286,0.0,63.68285714285714,4.988571428571428,101.20714285714288,0.2514285714285714,0.87,0.5,0.2203483214903893,30.15886056106837,0.2311409340584605,0.2161546596790299,0.2158439509307843,0.4647231720437685,0.8854560256532099,58.53,0.0,0.48,3635000,moderee,seche,8.257324803552602e-05
DAKAR,2018,5,18.131428571428568,19.82,16.7,17.667142857142856,0.03,77.16999999999999,6.88,101.27,0.25,0.87,0.45,0.2142451376741989,29.567907244324505,0.2257446277744249,0.2365372403424961,0.2158439509307843,0.5680647467311558,0.8229838658936564,58.53,0.0,0.0,3635000,moderee,seche,0.00010208514427683097
DAKAR,2018,6,18.045714285714286,21.57,16.3,16.851428571428574,0.54,73.79714285714286,6.391428571428572,101.37857142857142,0.2428571428571428,0.87,0.5,0.2081419538580085,26.46072517505247,0.2203483214903893,0.2311409340584605,0.2158439509307843,0.6631226582407952,0.7485107481711011,58.53,0.0,0.0,3635000,moderee,seche,9.676867553561983e-05
DAKAR,2018,7,19.06,25.81,17.36,17.215714285714288,0.0,71.58000000000001,5.517142857142857,101.28571428571428,0.24,0.87,0.5,0.2089172722008055,29.16394108362469,0.2142451376741989,0.2257446277744249,0.2158439509307843,0.7485107481711011,0.6631226582407953,58.53,0.03,0.0,3635000,moderee,seche,9.328519054360334e-05
DAKAR,2018,8,18.325714285714287,19.21,17.78,17.814285714285713,0.0,86.41142857142857,4.461428571428572,101.13285714285712,0.2357142857142857,0.87,0.31,0.2096925905436025,31.847399949845883,0.2081419538580085,0.2203483214903893,0.2158439509307843,0.8229838658936564,0.5680647467311559,58.53,0.54,0.0,3635000,moderee,seche,0.00011660178765192608
DAKAR,2018,9,19.094285714285714,20.11,18.53,18.51,0.0,88.02142857142857,5.33,101.35428571428572,0.23,0.87,0.32,0.2039295743267463,32.264434954492515,0.2089172722008055,0.2142451376741989,0.2365372403424961,0.8854560256532099,0.4647231720437686,59.3,0.0,0.03,3635000,moderee,seche,0.00011921341193566583
DAKAR,2018,10,19.770000000000003,24.32,18.48,18.61428571428572,0.0,88.41,4.485714285714286,101.14857142857144,0.23,0.87,0.31,0.1981665581098901,34.18273310616456,0.2096925905436025,0.2081419538580085,0.2311409340584605,0.9350162426854148,0.3546048870425355,72.31,0.0,0.54,3635000,moderee,seche,0.00012141407467890263
DAKAR,2018,11,19.92,27.22,18.69,18.71857142857143,0.78,86.99428571428572,4.467142857142857,101.09571428571428,0.2214285714285714,0.87,0.2299999999999999,0.192403541893034,36.10103125783661,0.2039295743267463,0.2089172722008055,0.2257446277744249,0.970941817426052,0.239315664287558,58.53,0.0,0.0,3635000,moderee,seche,0.00011747726261233353
DAKAR,2018,12,20.44142857142857,26.55,18.18,18.60571428571429,0.04,72.40142857142857,5.1000000000000005,101.13,0.22,0.87,0.22,0.1876233372170251,32.88633387912854,0.1981665581098901,0.2096925905436025,0.2203483214903893,0.992708874098054,0.120536680255323,58.53,0.0,0.0,3635000,moderee,seche,9.487321188817358e-05
DAKAR,2018,13,19.00714285714286,21.27,17.84,18.124285714285715,0.5499999999999999,87.80714285714285,4.737142857142857,101.12142857142858,0.22,0.87,0.15,0.1828431325410164,29.84954197459844,0.192403541893034,0.2039295743267463,0.2142451376741989,1.0,-1.6081226496766364e-16,58.53,0.78,0.0,3635000,moderee,seche,0.00011873251784710541
DAKAR,2018,14,19.142857142857142,20.29,18.04,18.512857142857143,0.0,89.69571428571429,5.371428571428572,100.93285714285716,0.2157142857142857,0.87,0.14,0.1845689669373705,31.08064206369713,0.1876233372170251,0.1981665581098901,0.2081419538580085,0.992708874098054,-0.1205366802553228,58.53,0.04,0.0,3635000,moderee,seche,0.00012170539145740694
DAKAR,2018,15,19.56571428571429,23.22,18.23,18.47,0.07,84.45857142857143,5.545714285714285,101.2,0.21,0.87,0.13,0.1862948013337247,31.50000029502442,0.1828431325410164,0.192403541893034,0.2089172722008055,0.970941817426052,-0.2393156642875575,78.43,0.5499999999999999,0.78,3635000,moderee,seche,0.00011592905106880421
